name   sepalLength   sepalWidth   petalLength   petalWidth   class
114   5.7  2.5    5    2  Virginica
115   5.8  2.8  5.1  2.4  Virginica
116   6.4  3.2  5.3  2.3  Virginica
117   6.5    3  5.5  1.8  Virginica
118   7.7  3.8  6.7  2.2  Virginica
119   7.7  2.6  6.9  2.3  Virginica
120     6  2.2    5  1.5  Virginica
121   6.9  3.2  5.7  2.3  Virginica
122   5.6  2.8  4.9    2  Virginica
123   7.7  2.8  6.7    2  Virginica
124   6.3  2.7  4.9  1.8  Virginica
125   6.7  3.3  5.7  2.1  Virginica
126   7.2  3.2    6  1.8  Virginica
127   6.2  2.8  4.8  1.8  Virginica
128   6.1    3  4.9  1.8  Virginica
129   6.4  2.8  5.6  2.1  Virginica
130   7.2    3  5.8  1.6  Virginica
131   7.4  2.8  6.1  1.9  Virginica
132   7.9  3.8  6.4    2  Virginica
133   6.4  2.8  5.6  2.2  Virginica
134   6.3  2.8  5.1  1.5  Virginica
135   6.1  2.6  5.6  1.4  Virginica
136   7.7    3  6.1  2.3  Virginica
137   6.3  3.4  5.6  2.4  Virginica
138   6.4  3.1  5.5  1.8  Virginica
139     6    3  4.8  1.8  Virginica
140   6.9  3.1  5.4  2.1  Virginica
141   6.7  3.1  5.6  2.4  Virginica
142   6.9  3.1  5.1  2.3  Virginica
143   5.8  2.7  5.1  1.9  Virginica
144   6.8  3.2  5.9  2.3  Virginica
145   6.7  3.3  5.7  2.5  Virginica
146   6.7    3  5.2  2.3  Virginica
147   6.3  2.5    5  1.9  Virginica
148   6.5    3  5.2    2  Virginica
149   6.2  3.4  5.4  2.3  Virginica
150   5.9    3  5.1  1.8  Virginica
